"Date Of Stop","Month Of Stop","Year Of Stop","Time Of Stop","Time Period","Description","Belts","Personal Injury","Commercial License","Commercial Vehicle","Vehicle Type","Year","Make","Model","Color","Race","Gender"
"07/17/2016","07","2016","03:56:00","03-04","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","DRIVING WHILE IMPAIRED BY ALCOHOL","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","DRIVER CHANGING LANES WHEN UNSAFE","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/17/2016","07","2016","03:56:00","03-04","FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS","No","Yes","No","No","02 - Automobile","2013","MAZDA","3","SILVER","BLACK","M"
"07/10/2016","07","2016","01:19:00","01-02","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING","No","No","No","No","02 - Automobile","2013","VW","JETTA","BLACK","WHITE","F"
"07/10/2016","07","2016","01:19:00","01-02","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","No","No","No","No","02 - Automobile","2013","VW","JETTA","BLACK","WHITE","F"
"04/17/2016","04","2016","20:26:00","20-21","EXCEEDING MAXIMUM SPEED: 70 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2013","CADILLAC","ESCALADE","BLACK","BLACK","M"
"05/24/2016","05","2016","08:41:00","08-09","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2013","SUBA","SUV","SILVER","WHITE","F"
"05/24/2016","05","2016","08:41:00","08-09","DRIVER FAILURE TO STOP AT STOP SIGN LINE","No","No","No","No","02 - Automobile","2013","SUBA","SUV","SILVER","WHITE","F"
"07/23/2016","07","2016","00:11:00","00-01","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","Yes","No","No","No","05 - Light Duty Truck","2013","HYUN","TK TUSCON","SILVER","HISPANIC","F"
"03/25/2016","03","2016","10:18:00","10-11","FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,","No","No","No","No","02 - Automobile","2013","SUBA","4S","BLUE","WHITE","F"
"03/01/2014","03","2014","02:34:00","02-03","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL","No","No","No","No","02 - Automobile","2013","TOYOTA","COROLLA","GRAY","WHITE","F"
"03/01/2014","03","2014","02:34:00","02-03","DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE","No","No","No","No","02 - Automobile","2013","TOYOTA","COROLLA","GRAY","WHITE","F"
"03/01/2014","03","2014","02:34:00","02-03","DRIVING WHILE IMPAIRED BY ALCOHOL","No","No","No","No","02 - Automobile","2013","TOYOTA","COROLLA","GRAY","WHITE","F"
"03/01/2014","03","2014","02:34:00","02-03","STOPPING VEH. ON HWY. OUTSIDE BUSINESS & RESIDENTIAL DISTRICT","No","No","No","No","02 - Automobile","2013","TOYOTA","COROLLA","GRAY","WHITE","F"
"03/01/2014","03","2014","02:34:00","02-03","CAUSING STANDING VEH. TO OBSTRUCT FREE VEH. PASSAGE OF ROADWAY","No","No","No","No","02 - Automobile","2013","TOYOTA","COROLLA","GRAY","WHITE","F"
"03/01/2014","03","2014","02:34:00","02-03","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","No","No","02 - Automobile","2013","TOYOTA","COROLLA","GRAY","WHITE","F"
"04/23/2016","04","2016","01:33:00","01-02","DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE","No","No","No","No","02 - Automobile","2013","TOYT","SUV","SILVER","BLACK","F"
"04/23/2016","04","2016","01:33:00","01-02","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2013","TOYT","SUV","SILVER","BLACK","F"
"05/19/2016","05","2016","22:32:00","22-23","KNOWINGLY DRIVING UNINSURED VEHICLE","No","No","No","No","02 - Automobile","2013","MAZDA","4S","BLUE","BLACK","M"
"05/19/2016","05","2016","22:32:00","22-23","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION","No","No","No","No","02 - Automobile","2013","MAZDA","4S","BLUE","BLACK","M"
"05/25/2016","05","2016","07:05:00","07-08","EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH","No","No","No","No","02 - Automobile","2013","HONDA","CIVIC","BLACK","WHITE","F"
"10/27/2015","10","2015","12:26:00","12-13","EXCEEDING MAXIMUM SPEED: 82 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","03 - Station Wagon","2013","FORD","ESCAPE","GRAY","WHITE","M"
"10/27/2015","10","2015","12:26:00","12-13","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","03 - Station Wagon","2013","FORD","ESCAPE","GRAY","WHITE","M"
"10/27/2015","10","2015","12:26:00","12-13","DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT","No","No","No","No","03 - Station Wagon","2013","FORD","ESCAPE","GRAY","WHITE","M"
"05/23/2016","05","2016","22:46:00","22-23","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2013","MAZDA","3","SILVER","WHITE","M"
"04/12/2016","04","2016","22:13:00","22-23","EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH","No","No","No","No","02 - Automobile","2013","TOYOTA","COROLLA","GRAY","BLACK","M"
"04/12/2016","04","2016","22:13:00","22-23","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","No","No","No","No","02 - Automobile","2013","TOYOTA","COROLLA","GRAY","BLACK","M"
"07/24/2016","07","2016","07:50:00","07-08","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","02 - Automobile","2013","BMW","535I","BLACK","BLACK","M"
"07/24/2016","07","2016","07:50:00","07-08","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","No","No","No","No","02 - Automobile","2013","BMW","535I","BLACK","BLACK","M"
"07/24/2016","07","2016","07:50:00","07-08","UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE","No","No","No","No","02 - Automobile","2013","BMW","535I","BLACK","BLACK","M"
"07/24/2016","07","2016","07:50:00","07-08","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2013","BMW","535I","BLACK","BLACK","M"
"09/23/2016","09","2016","00:02:00","00-01","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2013","VOLKS","JETTA","BLACK","BLACK","F"
"09/23/2016","09","2016","00:02:00","00-01","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION","No","No","No","No","02 - Automobile","2013","VOLKS","JETTA","BLACK","BLACK","F"
"09/23/2016","09","2016","00:02:00","00-01","KNOWINGLY DRIVING / OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE","No","No","No","No","02 - Automobile","2013","VOLKS","JETTA","BLACK","BLACK","F"
"09/29/2013","09","2013","11:12:00","11-12","EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE","No","No","No","No","02 - Automobile","2013","CHEV","VAN","GRAY","WHITE","F"
"05/13/2016","05","2016","12:46:00","12-13","DRIVER FAILURE TO STOP AT STOP SIGN LINE","No","No","No","No","02 - Automobile","2013","HOND","CIVIC","BLACK","BLACK","M"
"06/06/2016","06","2016","21:44:00","21-22","FAILURE YIELD RIGHT OF WAY ON LEFT TURN","No","No","No","No","02 - Automobile","2013","HONDA","CIVIC","GRAY","ASIAN","M"
"04/10/2016","04","2016","21:08:00","21-22","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2013","HONDA","CIVIC","WHITE","HISPANIC","M"
"12/09/2015","12","2015","12:41:00","12-13","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH","No","No","No","No","02 - Automobile","2013","NISS","SU","SILVER","WHITE","M"
"12/09/2015","12","2015","12:41:00","12-13","OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT","No","No","No","No","02 - Automobile","2013","NISS","SU","SILVER","WHITE","M"
"12/09/2015","12","2015","12:41:00","12-13","EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT","No","No","No","No","02 - Automobile","2013","NISS","SU","SILVER","WHITE","M"
"07/17/2014","07","2014","12:45:00","12-13","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2013","NISSAN","VERSA","BLACK","BLACK","M"
"05/08/2014","05","2014","09:47:00","09-10","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","28 - Other","2013","HOND","SUV CRV","N/A","WHITE","F"
"10/27/2014","10","2014","13:40:00","13-14","EXCEEDING MAXIMUM SPEED: 77 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2013","CHEV","4DR IMPALA","N/A","WHITE","M"
"05/14/2014","05","2014","10:09:00","10-11","PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT","No","No","No","No","02 - Automobile","2013","HYUN","4S","GOLD","BLACK","F"
"04/10/2015","04","2015","15:37:00","15-16","FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED","No","Yes","No","No","05 - Light Duty Truck","2013","FORD","EXPLORER","WHITE","BLACK","M"
"02/11/2014","02","2014","16:07:00","16-17","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2013","CHRYSLER","200 4S","BLUE","BLACK","F"
"05/07/2014","05","2014","17:36:00","17-18","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE","No","No","No","No","02 - Automobile","2013","MAZDA","3","BLACK","BLACK","M"
"02/27/2014","02","2014","12:38:00","12-13","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2013","MERZ","E350","GRAY","BLACK","M"
"07/03/2013","07","2013","12:12:00","12-13","EXCEEDING MAXIMUM SPEED: 87 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2013","FORD","4 DOOR","BLUE","WHITE","M"
"08/26/2014","08","2014","09:03:00","09-10","EXCEEDING MAXIMUM SPEED: 56 MPH IN A POSTED 35 MPH ZONE","No","No","No","No","02 - Automobile","2013","VOLKSWAGON","PASSAT","BLACK","WHITE","M"
"08/26/2014","08","2014","09:03:00","09-10","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2013","VOLKSWAGON","PASSAT","BLACK","WHITE","M"
"10/09/2013","10","2013","14:49:00","14-15","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2013","MERCEDES","4 DOOR","WHITE","WHITE","M"
"01/28/2014","01","2014","07:15:00","07-08","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON","No","Yes","No","No","02 - Automobile","2013","LINCOLN","MKS","SILVER","BLACK","M"
"07/07/2014","07","2014","09:16:00","09-10","EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE","No","No","No","No","02 - Automobile","2013","TOYT","4 DOOR","SILVER","OTHER","M"
"09/23/2014","09","2014","14:48:00","14-15","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2013","NISSAN","4 DOOR","GRAY","HISPANIC","M"
"05/17/2015","05","2015","02:24:00","02-03","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING","No","No","No","No","02 - Automobile","2013","HONDA","CIVIC","WHITE","WHITE","F"
"02/13/2013","02","2013","13:07:00","13-14","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2013","HYUN","SONATA","RED","WHITE","F"
"11/15/2013","11","2013","05:25:00","05-06","POSSESSING SUSPENDED LIC.","Yes","Yes","No","No","02 - Automobile","2013","KIA","OPTIMA","GOLD","BLACK","M"
"01/16/2014","01","2014","06:44:00","06-07","EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH","No","No","No","No","05 - Light Duty Truck","2013","NISSAN","TK PATHFINDER","WHITE","BLACK","F"
"01/16/2014","01","2014","06:44:00","06-07","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY.","No","No","No","No","05 - Light Duty Truck","2013","NISSAN","TK PATHFINDER","WHITE","BLACK","F"
"01/16/2014","01","2014","06:44:00","06-07","FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS","No","No","No","No","05 - Light Duty Truck","2013","NISSAN","TK PATHFINDER","WHITE","BLACK","F"
"05/31/2013","05","2013","10:35:00","10-11","DRIVING VEH. WHILE WEARING EARPHONES","No","No","No","No","02 - Automobile","2013","KIA","OPTIMA","BLACK","OTHER","M"
"10/27/2014","10","2014","10:01:00","10-11","DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE","No","No","No","No","02 - Automobile","2013","NISS","4S","BLACK","WHITE","M"
"04/15/2014","04","2014","00:31:00","00-01","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","03 - Station Wagon","2013","FORD","VAN","WHITE","BLACK","F"
"04/15/2014","04","2014","00:31:00","00-01","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","03 - Station Wagon","2013","FORD","VAN","WHITE","BLACK","F"
"06/06/2014","06","2014","18:22:00","18-19","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2013","MERZ","SUV","GRAY","WHITE","M"
"03/10/2013","03","2013","17:57:00","17-18","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","No","No","No","No","02 - Automobile","2013","CHEV","CAP","WHITE","WHITE","M"
"03/10/2013","03","2013","17:57:00","17-18","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2013","CHEV","CAP","WHITE","WHITE","M"
"04/15/2014","04","2014","00:31:00","00-01","DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE","No","No","No","No","03 - Station Wagon","2013","FORD","VAN","WHITE","BLACK","F"
"04/15/2014","04","2014","00:31:00","00-01","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","03 - Station Wagon","2013","FORD","VAN","WHITE","BLACK","F"
"09/14/2015","09","2015","09:53:00","09-10","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY","No","No","No","No","02 - Automobile","2013","DODGE","CARAVAN","GRAY","BLACK","F"
"09/14/2015","09","2015","09:53:00","09-10","FAILURE TO NOTIFY ADM. OF NAME CHANGE WITH 30 DAYS","No","No","No","No","02 - Automobile","2013","DODGE","CARAVAN","GRAY","BLACK","F"
"06/10/2015","06","2015","21:28:00","21-22","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","No","No","No","No","28 - Other","2013","TOYT","HIGHLANDER","BLACK","ASIAN","M"
"09/26/2013","09","2013","01:14:00","01-02","DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION","No","No","No","No","02 - Automobile","2013","MERZ","SUV","BLACK","BLACK","M"
"11/01/2013","11","2013","23:40:00","23-24","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","No","No","02 - Automobile","2013","HONDA","VAN","GRAY","HISPANIC","M"
"06/17/2014","06","2014","02:20:00","02-03","LICENSEE FAILURE TO APPLY FOR DUP. LIC. WHEN LIC.  MUTILATED.","No","No","No","No","02 - Automobile","2013","BMW","X-5 SUV","BLACK","WHITE","M"
"03/11/2014","03","2014","12:18:00","12-13","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY","No","No","No","No","02 - Automobile","2013","CADILLAC","4D","BLUE","HISPANIC","M"
"03/11/2014","03","2014","12:18:00","12-13","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2013","CADILLAC","4D","BLUE","HISPANIC","M"
"03/11/2014","03","2014","12:18:00","12-13","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","02 - Automobile","2013","CADILLAC","4D","BLUE","HISPANIC","M"
"08/28/2014","08","2014","17:04:00","17-18","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2013","VOLVO","XC90","BLACK","WHITE","M"
"08/28/2014","08","2014","17:04:00","17-18","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2013","VOLVO","XC90","BLACK","WHITE","M"
"02/26/2013","02","2013","14:54:00","14-15","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","28 - Other","2013","HYUNDAI","SUV","N/A","WHITE","M"
"03/01/2016","03","2016","10:36:00","10-11","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","03 - Station Wagon","2013","HONDA","FIT","GREEN","WHITE","F"
"10/24/2014","10","2014","10:23:00","10-11","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2013","TOYOTA","CAMRY","GRAY","BLACK","F"
"02/18/2013","02","2013","14:29:00","14-15","FAILURE TO STOP AT STOP SIGN","No","No","No","No","08 - Recreational Vehicle","2013","CHEV","SUBURBAN","PURPLE","ASIAN","M"
"03/28/2013","03","2013","10:21:00","10-11","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2013","VOLKSWAGEN","JETTA","BLACK","WHITE","M"
"08/11/2014","08","2014","17:49:00","17-18","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH","No","No","No","No","02 - Automobile","2013","FORD","FUSION","WHITE","WHITE","M"
"09/12/2015","09","2015","01:39:00","01-02","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","No","No","02 - Automobile","2013","DODG","CARAVAN","GRAY","BLACK","F"
"09/12/2015","09","2015","01:39:00","01-02","PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT","No","No","No","No","02 - Automobile","2013","DODG","CARAVAN","GRAY","BLACK","F"
"05/15/2013","05","2013","21:52:00","21-22","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","No","No","No","No","02 - Automobile","2013","CHEVY","IMPALA","GRAY","WHITE","M"
"02/27/2013","02","2013","15:21:00","15-16","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2013","HYUNDAI","ACCENT","SILVER","WHITE","M"
"02/19/2014","02","2014","21:44:00","21-22","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","02 - Automobile","2013","DODGE","AVENGER","GRAY","BLACK","F"
"11/24/2014","11","2014","14:22:00","14-15","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","02 - Automobile","2013","NISSAN","ALTMA","SILVER","WHITE","M"
"09/19/2015","09","2015","14:46:00","14-15","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2013","CHEVROLET","IMPALA","BLACK","WHITE","M"
"09/19/2015","09","2015","14:46:00","14-15","DRIVER WRITING,SENDING,READING A TEXT,ELECTRONIC MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY","No","No","No","No","02 - Automobile","2013","CHEVROLET","IMPALA","BLACK","WHITE","M"
"05/07/2014","05","2014","17:36:00","17-18","DRIVING A RENTED MOTOR VEHICLE IN VIOLATION OF RENTAL AGREEMENT","No","No","No","No","02 - Automobile","2013","MAZDA","3","BLACK","BLACK","M"
"11/14/2014","11","2014","13:48:00","13-14","EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH","No","No","No","No","02 - Automobile","2013","CHRY","TOWN & COUNTRY","BLACK","BLACK","F"
"01/16/2014","01","2014","16:30:00","16-17","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","03 - Station Wagon","2013","HYUN","SONATA","WHITE","WHITE","F"
"09/18/2013","09","2013","07:05:00","07-08","EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH","No","No","No","No","03 - Station Wagon","2013","NISS","PATHFINDER","WHITE","BLACK","F"
"04/27/2015","04","2015","13:28:00","13-14","OPERATING MOTOR VEHICLE WITHOUT PROPER REQUIRED EMEMERGENCY EQUIPMENT ON POWER UNIT","No","No","No","No","05 - Light Duty Truck","2013","FORD","5FF0","RED","WHITE","M"
"04/27/2015","04","2015","13:28:00","13-14","RIGHT REAR CLEARANCE LIGHT INOPERATIVE","No","No","No","No","05 - Light Duty Truck","2013","FORD","5FF0","RED","WHITE","M"
"11/10/2014","11","2014","23:20:00","23-24","FAILURE TO STOP AT STOP SIGN","No","No","No","No","02 - Automobile","2013","HYUNDAI","TUSCON","BLACK","WHITE","F"
"05/24/2013","05","2013","23:02:00","23-24","OPERATOR NOT RESTRAINED BY SEATBELT","No","No","No","No","02 - Automobile","2013","ACURA","RDX","BLUE","WHITE","M"
"07/20/2014","07","2014","14:04:00","14-15","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2013","TOYOTA","CAMRY","TAN","WHITE","M"
"09/05/2013","09","2013","14:33:00","14-15","EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH","No","No","No","No","02 - Automobile","2013","DODGE","AVENGER","BLUE","WHITE","F"
"11/28/2013","11","2013","04:39:00","04-05","EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH","No","No","No","No","02 - Automobile","2013","CHRY","200","BLACK","WHITE","M"
"03/08/2013","03","2013","14:56:00","14-15","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2013","MAZDA","CX5","BLACK","WHITE","M"
"08/11/2013","08","2013","21:35:00","21-22","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","No","No","02 - Automobile","2013","NISSAN","ALTIMA","GRAY","BLACK","F"
"05/03/2014","05","2014","12:14:00","12-13","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2013","CHEV","EQUINOX","BLACK","BLACK","M"
"07/02/2015","07","2015","00:47:00","00-01","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","No","No","No","No","02 - Automobile","2013","NISSAN","QUEST","SILVER","ASIAN","M"
"12/11/2012","12","2012","18:06:00","18-19","FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.","No","No","No","No","02 - Automobile","2013","FORD","EXPLORER","WHITE","ASIAN","M"
"06/21/2014","06","2014","18:45:00","18-19","FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH.","No","No","No","No","02 - Automobile","2013","FORD","FOCUS","GRAY","BLACK","M"
"10/27/2015","10","2015","12:26:00","12-13","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","03 - Station Wagon","2013","FORD","ESCAPE","GRAY","WHITE","M"
"10/27/2015","10","2015","12:26:00","12-13","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED","No","No","No","No","03 - Station Wagon","2013","FORD","ESCAPE","GRAY","WHITE","M"
"10/27/2015","10","2015","12:26:00","12-13","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON","No","No","No","No","03 - Station Wagon","2013","FORD","ESCAPE","GRAY","WHITE","M"
"04/28/2013","04","2013","22:21:00","22-23","DRIVER FAILURE TO STOP AT STOP SIGN LINE","No","No","No","No","02 - Automobile","2013","CHRYSLER","TOWN AND COUNTR","SILVER","WHITE","M"
"09/22/2012","09","2012","12:37:00","12-13","EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH","No","No","No","No","02 - Automobile","2013","CHEVY","CRUZE","SILVER","BLACK","M"
"04/20/2014","04","2014","02:05:00","02-03","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING","No","No","No","No","02 - Automobile","2013","TOYT","TK","BLACK","HISPANIC","M"
"05/09/2014","05","2014","20:47:00","20-21","DRIVER FAILURE TO STOP AT STOP SIGN LINE","No","No","No","No","02 - Automobile","2013","HONDA","CIVIC","SILVER","ASIAN","F"
